village_id,village,district,province,population,watershed,forest_loss
1605080005,ESPA_A,SOPLIN,REQUENA,34,Cuenca Tapiche,5.6502324999999995
1605080004,FRONTERA,SOPLIN,REQUENA,28,Cuenca Tapiche,5.311743750000001
1605090006,PUERTO ANGEL,TAPICHE,REQUENA,137,Cuenca Tapiche,23.81097625
1605010023,SAN VICENTE,REQUENA,REQUENA,202,Cuenca Tapiche,78.7803475
1605090005,SAN PEDRO,TAPICHE,REQUENA,211,Cuenca Tapiche,9.3304025
1605080002,NUEVA ESPERANZA,SOPLIN,REQUENA,111,Cuenca Tapiche,4.62729125
1605090008,PALMERAS,TAPICHE,REQUENA,70,Cuenca Tapiche,45.19142875
1605020002,MORALES B.,ALTO TAPICHE,REQUENA,106,Cuenca Tapiche,76.918285
1605020004,WICUNGO,ALTO TAPICHE,REQUENA,141,Cuenca Tapiche,6.822747500000001
1602010021,SANTA ISABEL,YURIMAGUAS,ALTO AMAZONAS,186,Intercuenca Bajo Huallaga,163.2511375
1602010024,OROMINA,YURIMAGUAS,ALTO AMAZONAS,120,Intercuenca Bajo Huallaga,207.97089375
1602010004,SAN PEDRO DE CHINGANA,YURIMAGUAS,ALTO AMAZONAS,151,Intercuenca Bajo Huallaga,76.265695
1602010018,NUEVA ESPERANZA,YURIMAGUAS,ALTO AMAZONAS,124,Intercuenca Bajo Huallaga,186.27235375
1602010002,LAS MALVINAS,YURIMAGUAS,ALTO AMAZONAS,132,Intercuenca Bajo Huallaga,60.597694999999995
1602010049,PUERTO ARTURO,YURIMAGUAS,ALTO AMAZONAS,178,Intercuenca Bajo Huallaga,151.3632
1602010009,JEBERILLOS,YURIMAGUAS,ALTO AMAZONAS,255,Intercuenca Bajo Huallaga,148.16564375000002
1602010010,SAN PEDRO DE ZAPOTE,YURIMAGUAS,ALTO AMAZONAS,243,Intercuenca Bajo Huallaga,196.17710625
1602010017,SAN JUAN DE ZAPOTE,YURIMAGUAS,ALTO AMAZONAS,215,Intercuenca Bajo Huallaga,207.602405
1602010130,NUEVA UNION,YURIMAGUAS,ALTO AMAZONAS,75,Intercuenca Bajo Huallaga,153.18872875
1602010133,PRIMAVERA,YURIMAGUAS,ALTO AMAZONAS,98,Intercuenca Bajo Huallaga,143.37814625000001
1602010055,MONDONGO,YURIMAGUAS,ALTO AMAZONAS,130,Intercuenca Bajo Huallaga,146.23919999999998
1602010132,PACHACUTEC,YURIMAGUAS,ALTO AMAZONAS,16,Intercuenca Bajo Huallaga,97.52738
1602010043,NUEVA REFORMA,YURIMAGUAS,ALTO AMAZONAS,87,Intercuenca Bajo Huallaga,136.93172124999998
1602010036,DOS DE MAYO,YURIMAGUAS,ALTO AMAZONAS,336,Intercuenca Bajo Huallaga,144.33642249999997
1602010025,NUEVA ERA,YURIMAGUAS,ALTO AMAZONAS,124,Intercuenca Bajo Huallaga,205.8770975
