province,district,village,ccpp_id,population,river_name,hydro_name_ana,hydro_name_l6,hydro_name_l7,adef
MAYNAS,MAZAN,17 DE JUNIO,1601050074,84,Rio Napo,Cuenca Napo,Hydro4,Hydro13,2.8181853
MAYNAS,MAZAN,BELLO HORIZONTE,1601060041,230,Rio Napo,Cuenca Napo,Hydro4,Hydro13,5.47517567
MAYNAS,MAZAN,URCO MIRA_O,1601060033,318,Rio Napo,Cuenca Napo,Hydro4,Hydro13,4.44214221
MAYNAS,MAZAN,HUAMAN URCO,1601060021,351,Rio Napo,Cuenca Napo,Hydro4,Hydro23,4.84638792
MAYNAS,MAZAN,YARINA ISLA,1601060014,145,Rio Napo,Cuenca Napo,Hydro4,Hydro13,3.51225811
MAYNAS,MAZAN,ISLA TAMANCO,1601060018,189,Rio Napo,Cuenca Napo,Hydro4,Hydro13,4.83807187
MAYNAS,MAZAN,8 DE OCTUBRE,1601060053,79,Rio Napo,Cuenca Napo,Hydro4,Hydro13,4.87040979
MAYNAS,MAZAN,NUEVO FLAUTERIO,1601060057,26,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.59782599
MAYNAS,MAZAN,NUEVO IQUITOS,1601060005,45,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.35075708
MAYNAS,MAZAN,NUEVO PORVENIR,1601060034,66,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.1938350300000002
MAYNAS,MAZAN,PUERTO OBRERO,1601060078,87,Rio Napo,Cuenca Napo,Hydro4,Hydro23,1.75325271
MAYNAS,MAZAN,VISTO BUENO,1601060044,56,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,1.67218917
MAYNAS,MAZAN,NUEVO TIWINSA,1601060069,77,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,4.17913937
MAYNAS,MAZAN,4 DE ABRIL,1601060075,23,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,3.81127181
MAYNAS,PUNCHANA,ALFONSO UGARTE,1601080004,19,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,1.35945298
MAYNAS,PUNCHANA,TIERRA HERMOSA,1601080017,21,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,3.88128225
MAYNAS,PUNCHANA,SOL NACIENTE,1601080022,42,Rio Mazan,Cuenca Napo,Hydro4,Hydro22,3.98285607
MAYNAS,"NAPO",NUEVO TIPISHCA,1601070016,90,Rio Curaray,Cuenca Napo,Hydro4,Hydro36,0.92396544
MAYNAS,"NAPO",CERRO DE PASCO,1601070075,62,Rio Napo,Cuenca Napo,Hydro4,Hydro23,1.5798779299999999
MAYNAS,"NAPO",NINAYACU,1601070048,252,Rio Napo,Cuenca Napo,Hydro4,Hydro23,3.19582437
MAYNAS,"NAPO",NUEVO SAN ANTONIO DE LANC,1601070038,54,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.65131398
MAYNAS,"NAPO",COPAL URCO,1601070025,404,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.47887052
MAYNAS,"NAPO",SAN CARLOS,1601070006,269,Rio Napo,Cuenca Napo,Hydro4,Hydro35,2.31339153
MAYNAS,"NAPO",PATRIA NUEVA,1601070030,118,Rio Napo,Cuenca Napo,Hydro4,Hydro23,1.33612896
MAYNAS,"NAPO",RANGO ISLA,1601070028,133,Rio Napo,Cuenca Napo,Hydro4,Hydro23,2.2445744100000002
ALTO AMAZONAS,BALSAPUERTO,NUEVA ZARAMIRIZA,1602020078,142,Qda Buen Paso,Cuenca Paranapura,Hydro10,Hydro63,0.64450947
ALTO AMAZONAS,BALSAPUERTO,NUEVO CUZCO,1602020056,78,Qda Urubico,Cuenca Paranapura,Hydro10,Hydro63,10.71717175
ALTO AMAZONAS,BALSAPUERTO,SAN PEDRO DE POROTOYACU,1602020076,64,Qda Achayacu,Cuenca Paranapura,Hydro10,Hydro63,4.8970698
ALTO AMAZONAS,BALSAPUERTO,CANOA PUERTO,1602020075,405,Rio Cachiyacu,Cuenca Paranapura,Hydro10,Hydro63,7.04886017
ALTO AMAZONAS,BALSAPUERTO,SANTA RITA,1602020033,143,Rio Cachiyacu,Cuenca Paranapura,Hydro10,Hydro63,10.53873892
ALTO AMAZONAS,BALSAPUERTO,SANTA CLARA,1602020047,108,Rio Cachiyacu,Cuenca Paranapura,Hydro10,Hydro63,12.13204298
ALTO AMAZONAS,BALSAPUERTO,NUEVA LUZ,1602020071,152,Rio Cachiyacu,Cuenca Paranapura,Hydro10,Hydro63,9.90306202
ALTO AMAZONAS,BALSAPUERTO,MONTE ALEGRE,1602020048,127,Rio Cachiyacu,Cuenca Paranapura,Hydro10,Hydro63,4.26116396
ALTO AMAZONAS,BALSAPUERTO,PAMPA HERMOSA,1602020013,98,Qda Sabaloyacu,Cuenca Paranapura,Hydro10,Hydro63,8.772798569999999
ALTO AMAZONAS,BALSAPUERTO,LORETO,1602020017,123,Qda Sabaloyacu,Cuenca Paranapura,Hydro10,Hydro63,9.80850202
ALTO AMAZONAS,BALSAPUERTO,SOLEDAD,1602020022,644,Rio Yanayacu,Cuenca Paranapura,Hydro10,Hydro63,12.39542511
ALTO AMAZONAS,BALSAPUERTO,NUEVO SAN LORENZO,1602020032,113,Rio Yanayacu,Cuenca Paranapura,Hydro10,Hydro63,10.58640146
ALTO AMAZONAS,BALSAPUERTO,SAN  MIGUEL,1602020026,147,Rio Yanayacu,Cuenca Paranapura,Hydro10,Hydro63,9.01461617
ALTO AMAZONAS,YURIMAGUAS,BALSAYACU,1602010052,189,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,14.12052006
ALTO AMAZONAS,BALSAPUERTO,NUEVO MIRAFLORES,1602020059,117,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,12.87303601
ALTO AMAZONAS,BALSAPUERTO,LOS ANGELES,1602020004,268,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,6.76150891
ALTO AMAZONAS,BALSAPUERTO,NUEVA VIDA,1602020005,740,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,6.86334499
ALTO AMAZONAS,BALSAPUERTO,IRAPAY,1602020024,135,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,9.13276771
ALTO AMAZONAS,BALSAPUERTO,FRAY MARTIN,1602020043,353,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,9.30630215
ALTO AMAZONAS,YURIMAGUAS,VARADERILLO,1602010048,114,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,14.14855708
ALTO AMAZONAS,YURIMAGUAS,SAN ANTONIO DE SANIYACO,1602010053,59,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,14.25722347
ALTO AMAZONAS,BALSAPUERTO,DAMASCO,1602020054,56,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,9.75492317
ALTO AMAZONAS,BALSAPUERTO,SAN VICENTE,1602020044,83,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,8.2463557
DATEM DEL MARA_ON,CAHUAPANAS,PUERTO LIBRE,1607020039,93,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,8.61306135
ALTO AMAZONAS,BALSAPUERTO,PUCALPILLO,1602020009,157,Rio Paranapura,Cuenca Paranapura,Hydro10,Hydro63,8.05684452
ALTO AMAZONAS,BALSAPUERTO,NUEVO PROGRESO,1602020067,151,Rio Armanayaco,Cuenca Paranapura,Hydro10,Hydro63,9.82064078
ALTO AMAZONAS,BALSAPUERTO,SAN ISIDRO,1602020063,65,Rio Armanayaco,Cuenca Paranapura,Hydro10,Hydro63,13.03339342
ALTO AMAZONAS,BALSAPUERTO,SANTA MARTHA,1602020061,74,Rio Armanayaco,Cuenca Paranapura,Hydro10,Hydro63,9.88135861
ALTO AMAZONAS,BALSAPUERTO,NUEVO SAN MARTIN,1602020057,40,Rio Armanayaco,Cuenca Paranapura,Hydro10,Hydro63,9.42552759
ALTO AMAZONAS,BALSAPUERTO,"NARANJILLO",1602020077,38,Rio Armanayaco,Cuenca Paranapura,Hydro10,Hydro63,10.04653527
ALTO AMAZONAS,BALSAPUERTO,NUEVO TOCACHE,1602020079,40,Rio Armanayaco,Cuenca Paranapura,Hydro10,Hydro63,10.03979748
ALTO AMAZONAS,JEBEROS,JEBEROS,1602050001,2009,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,7.87213485
ALTO AMAZONAS,JEBEROS,BELLAVISTA,1602050016,361,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,9.50451927
ALTO AMAZONAS,JEBEROS,BETHEL,1602050020,292,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,8.69162289
ALTO AMAZONAS,JEBEROS,SANTA FE,1602050025,43,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,6.91149552
ALTO AMAZONAS,JEBEROS,MONTE CRISTO,1602050022,72,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,2.8495943
ALTO AMAZONAS,JEBEROS,PUNCHANA,1602050015,167,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,9.16252255
ALTO AMAZONAS,JEBEROS,NUEVO JUNIN,1602050030,77,Rio Juracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,2.8495943
ALTO AMAZONAS,SANTA CRUZ,NUEVA ESPERANZA DEL YURAC,1602100007,136,Rio Yuracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,5.9562466700000005
ALTO AMAZONAS,LAGUNAS,NUEVO MUNDO,1602060010,224,Rio Pavayacu,Intercuenca Medio Bajo Marañón,Hydro6,Hydro51,2.87951694
ALTO AMAZONAS,LAGUNAS,NUEVA CREACION,1602060007,56,Rio Pavayacu,Intercuenca Medio Bajo Marañón,Hydro6,Hydro51,1.26747194
ALTO AMAZONAS,LAGUNAS,HUANCAYO,1602060011,184,Rio Nucuray,Intercuenca Medio Bajo Marañón,Hydro6,Hydro51,2.50565487
ALTO AMAZONAS,LAGUNAS,NUEVA UNION,1602060020,338,Rio Nucuray,Intercuenca Medio Bajo Marañón,Hydro6,Hydro51,2.98591715
ALTO AMAZONAS,LAGUNAS,LAGUNAS,1602060001,7396,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,5.92860051
ALTO AMAZONAS,LAGUNAS,ACHUAL TIPISHICA,1602060046,380,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,3.36941376
ALTO AMAZONAS,LAGUNAS,PAUCARYACU,1602060058,93,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,1.85568257
ALTO AMAZONAS,LAGUNAS,SAN LUIS,1602060031,158,Rio Marañon,Intercuenca Medio Marañón,Hydro10,Hydro52,3.90027828
ALTO AMAZONAS,SANTA CRUZ,UNION CHALLUANA,1602100009,34,Rio Yuracyacu,Intercuenca Bajo Huallga,Hydro10,Hydro53,6.9020440800000005
ALTO AMAZONAS,SANTA CRUZ,ATAHUALPA,1602100003,140,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,6.34720352
ALTO AMAZONAS,SANTA CRUZ,SANTA CRUZ,1602100001,787,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,9.52323204
ALTO AMAZONAS,SANTA CRUZ,UNION ULLPACA_O,1602100014,66,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,3.12843747
ALTO AMAZONAS,SANTA CRUZ,HUATAPI,1602100018,171,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,4.90034626
