hydro_name_ana,size,order,edge_density,province,district,village,ccpp_id,population,river_name,hydro_name_l6,hydro_name_l7,adef,degree,strength_dist,strength_inv_dist,strength_grav_pop,strength_modgrav_pop_ori,strength_modgrav_pop_dest,strength_modgrav_pop,strength_grav_adef,strength_modgrav_adef_ori,strength_modgrav_adef_dest,strength_modgrav_adef,closeness,closeness_dist,closeness_inv_dist,closeness_grav_pop,closeness_modgrav_pop_ori,closeness_modgrav_pop_dest,closeness_modgrav_pop,closeness_grav_adef,closeness_modgrav_adef_ori,closeness_modgrav_adef_dest,closeness_modgrav_adef,betweenness,betweenness_dist,betweenness_inv_dist,betweenness_grav_pop,betweenness_modgrav_pop_ori,betweenness_modgrav_pop_dest,betweenness_modgrav_pop,betweenness_grav_adef,betweenness_modgrav_adef_ori,betweenness_modgrav_adef_dest,betweenness_modgrav_adef,eigen,eigen_dist,eigen_inv_dist,eigen_grav_pop,eigen_modgrav_pop_ori,eigen_modgrav_pop_dest,eigen_modgrav_pop,eigen_grav_adef,eigen_modgrav_adef_ori,eigen_modgrav_adef_dest,eigen_modgrav_adef
Intercuenca 49913,2556,72,1,REQUENA,CAPELO,HUATAPI,1605030005,515,Rio Ucayali,Hydro8,Hydro76,1.39594003,71,0.17970295629651928,0.1032355775703539,0.17957223484806717,0.26983044888260976,0,0.014386241739568926,0.008644008665491322,0.04077286000835491,0.30710682157243985,0.21078250755682137,0.5,0.5967401830955812,0.3521692295836583,0.3090060895292414,0.6000593728627607,0.5759986947598978,0.6696891151934217,0.7526672504589116,0.6208090341270311,0.34716655414849995,0.55251634802615,0.5,0,0,0,0.027700831024930747,0,0.14965986394557823,0,0,0,0.21499013806706113,0.5,0.18699691504862742,0.0017663824377817958,0.16220854292632403,0.26788513818249626,0.017516365682856704,0.004605786087337016,2.9520908042946625e-4,0.06941413691596052,0.3153870274025406,0.25853466189161206
Intercuenca 49913,2556,72,1,REQUENA,EMILIO SAN MARTIN,LAGO SAN MARCOS,1605040009,471,Rio Ucayali,Hydro8,Hydro76,4.65205653,71,0.00409247520189075,0.17229652434000556,0.2186220387768872,0.12161589827617542,0.005268702528160525,0.005653076654458516,0.07766718015868618,0.11199295331754869,0.011776029563222292,0.022243792000240303,0.5,0.9874826582313311,0.10496099742750781,0.3330641496769372,0.378660802333268,0.701697729610782,0.9354047569000041,0.21779454228323,0.333049599436054,0.748122026082564,0.9656684739111566,0.5,0,0,0,0,0.0010193679918450561,0.11224489795918367,0,0,0,0.10059171597633136,0.5,0.005960496719746278,0.006740270960513023,0.18322383855981494,0.14370681257462048,0.024780812828273883,0.005186129318097742,0.004045732081105017,0.1705545122331667,0.03972907633968403,0.048180249692671255
Intercuenca 49913,2556,72,1,REQUENA,EMILIO SAN MARTIN,PERLITA,1605040018,168,Rio Ucayali,Hydro8,Hydro76,6.5962293899999995,71,0.00543498096267425,0.22608070980996822,0.09757896280714648,0.0539578352205647,0.012102106373113621,0.0048772669190832035,0.14363727478459884,0.16790987288976636,0.02461435981889942,0.0753409361898882,0.5,0.9834224421553033,0.09651432109541462,0.6285401247274695,0.4858092338021636,0.7720331507612909,0.9784606652261407,0.09613610213068122,0.47961356569921565,0.9246065284344555,0.926631983783533,0.5,0,0,0,0,0,0.42517006802721086,0,0.05805805805805806,0.38823529411764707,0.011834319526627219,0.5,0.007088530663202263,0.007079397282637474,0.07524999366917798,0.07665825172882892,0.050056569393571906,0.027613238365920313,0.005835802977860592,0.24860080411151822,0.05275461799945239,0.12210456258071029
Intercuenca 49913,2556,72,1,REQUENA,EMILIO SAN MARTIN,SAN JUAN DE CUMACEVA,1605040028,118,Qda Main,Hydro8,Hydro76,0.41686742,71,0.059174092775142906,0.09678270029805942,0.032860653019693944,0.08633205261637575,0.01773367150071518,0.013560159550467677,0.0016027697020230924,0.40099869749631106,0.5630061669079378,0.6982045720839174,0.5,0.837509594839994,0.0029319625013099573,0.7734690384035419,0.6196454809254552,0.6181784786364647,0.8013562301251418,0.8357132753680513,1,0.8972023128109351,0.3989323618637085,0.5,0,0,0,0.002770083102493075,0,0.017006802721088437,0,1,0.5127450980392156,0.10453648915187377,0.5,0.04958325716690425,0.006555555749734713,0.036701389721046924,0.1250849415053017,0.05892765016689401,0.03760153974671276,2.0530598651792903e-4,0.4887020324609043,0.6605853944472714,0.8360066651594604
Intercuenca 49913,2556,72,1,REQUENA,EMILIO SAN MARTIN,VICTOR RAUL,1605040029,75,Rio Buncuyo,Hydro8,Hydro76,0.92978343,71,0.31955556106344674,0.03808950454502906,0.007796514404369149,0.23770681041465017,0.03699821811399453,0.0470759597257509,0.002406354348176668,0.30405458730821733,0.2887276156569019,0.3836382293399557,0.5,0.40838505226704575,0.09402568267360409,0.895645400265308,0.7666990267681295,0.5163546499792124,0.40894090828332524,0.7575231577585506,0.3337451915638032,0.3248803436663778,0.1861126338989297,0.5,0,0,0,0,0,0.09183673469387756,0,0,0,0.17751479289940827,0.5,0.2955236379966808,0.0017418542505016846,0.014796431797368694,0.3265472252192126,0.06805432737732879,0.05240330337561179,1.6040395616059315e-4,0.3327361544006513,0.24208421014085257,0.3318875497613314
Intercuenca 49913,2556,72,1,REQUENA,MAQUIA,SANTA CLOTILDE,1605050018,63,Rio Ucayali,Hydro8,Hydro76,6.03373966,71,0.016911487153445627,0.2015859292701128,0.030230064856079732,0.14828637046766466,0.03928485507279533,0.04242093691044097,0.1242284335746042,0.08284740294005917,0.08397090694092439,0.0589051406374935,0.5,0.9496093731163443,0.020837436713460063,0.8616883641847579,0.7606609159273012,0.973049047140714,0.965346397531111,0.05447534469844435,0.8527621283282808,0.7994087528717713,0.9534566213461994,0.5,0,0,0,0.1260387811634349,0.35575942915392456,0.7142857142857143,0,0,0,0.8205128205128205,0.5,0.012209687478574538,0.02358808897468897,0.037099551330150714,0.20462482257595518,0.12498354966510584,0.10738252625622113,0.01817676947552545,0.11070664583599471,0.10911372663973837,0.08691892640968721
Intercuenca 49913,2556,72,1,REQUENA,MAQUIA,NUEVA ESPERANZA,1605050025,141,Rio Ucayali,Hydro8,Hydro76,5.27665756,71,0.010355350606874616,0.2376713555125334,0.0786341750062062,0.0677046333343686,0.01307025507756726,0.007278875451986065,0.1204127589874785,0.07229641674205699,0.06360735283586011,0.03396847863454555,0.5,0.9687316750250189,0.026663780920859737,0.7159562976702067,0.5552082068706056,0.8499448337539907,0.9990650681417167,0.0846641859369343,0.8160905195592538,0.7368975567373083,0.9936089568667444,0.5,0,0,0,0,0.07135575942915393,0.9285714285714286,0,0.012012012012012012,0.014705882352941176,1,0.5,0.006559139291193657,0.019480724470201122,0.07531457896150269,0.09636859622932799,0.053341426639624906,0.031201786246913114,0.01255799476163826,0.09828709990163774,0.0900964941893883,0.05464055640525258
Intercuenca 49913,2556,72,1,REQUENA,MAQUIA,MAQUIA TIPISHCA,1605050035,106,Qda Siuca,Hydro8,Hydro76,2.96698177,71,0.06481648627586845,0.10332309528247882,0.03327345768806002,0.11813895569211191,0.017215512458683344,0.016213742764523136,0.03151677735771438,0.06697351559037977,0.04007510354301957,0.006798326053614285,0.5,0.8238601144273082,0,0.8022933975829659,0.6704958821492427,0.8139934062579942,0.8033960810627144,0.34040546401805455,0.6220751797422445,0.6713896171157883,0.798452648922872,0.5,0,0,0,0,0,0.19727891156462585,0,0,0,0.1873767258382643,0.5,0.05226464101894109,0.011429800225663929,0.041143079464652274,0.15699461584732322,0.06242778019767056,0.04207957634310005,0.004495321496935617,0.06801803422317582,0.06807963199119263,0
Intercuenca 49913,2556,72,1,REQUENA,PUINAHUA,BELLAVISTA,1605060016,256,Rio Canal Puinahua,Hydro8,Hydro39,3.73733388,71,0.06299926982476503,0.09776028362423164,0.09682333149228427,0.057999314542002675,0.010617583588254842,0.0031022286223268466,0.03308849908401263,0.04156112094017775,0.09611504640271605,0.033462561461987006,0.5,0.8282251457881401,0.2127898151319395,0.44208670242492626,0.447952898611204,0.5778535343406589,0.8544633872597581,0.3930020857466034,0.5996968188488707,0.20381214412856605,0.8428259940413543,0.5,0,0,0,0,0,0.391156462585034,0,0.02002002002002002,0,0.13214990138067062,0.5,0.06764619468051025,0.003798247438449595,0.08824957680236582,0.06462234752243676,0.03871884125720787,0.0159379308510673,0.0020193818465294084,0.008362792383745606,0.12468192625788171,0.06378171291676486
Intercuenca 49913,2556,72,1,REQUENA,PUINAHUA,MANCO CAPAC,1605060003,492,Rio Canal Puinahua,Hydro8,Hydro39,4.15438495,71,0.23704123514795075,0.07325842059203574,0.12997442588296843,0.11534835215680046,0.018484403805243417,0.016641189081754108,0.026831640827173844,0.08830344684523503,0.16549417555413456,0.10195529621670568,0.5,0.510625736842742,0.38768033753418435,0.34103201834564256,0.5736475512120212,0.4058470042145657,0.5773431361843319,0.474191120867488,0.6862553805094891,0.32994834387747424,0.5608117605430539,0.5,0,0,0,0,0,0.05782312925170068,0,0.2722722722722723,0,0.15779092702169625,0.5,0.24893618734310535,0.0014995953060533739,0.11815812554384783,0.12811498477902877,0.027570736275800478,0.007451626615049315,0.0011667849448885289,0.0323145644031734,0.18034374199240635,0.15564955343421522
