province,district,village,village_id,population,river_name,hydro_name_ana,hydro_name_l6,hydro_name_l7,adef,lon,lat,degree,closeness,betweenness,eigen,d_stre,d_close,d_between,d_eigen,d_pop_grav_stre,d_pop_grav_close,d_pop_grav_between,d_pop_grav_eigen,d_adef_grav_stre,d_adef_grav_close,d_adef_grav_between,d_adef_grav_eigen,t_stre,t_close,t_between,t_eigen,t_pop_grav_stre,t_pop_grav_close,t_pop_grav_between,t_pop_grav_eigen,t_adef_grav_stre,t_adef_grav_close,t_adef_grav_between,t_adef_grav_eigen,size,order,edge_density
REQUENA,EMILIO SAN MARTIN,VICTOR RAUL,1605040029,75,Rio Buncuyo,Intercuenca 49913,Hydro8,Hydro76,0.92978343,-74.56581099878885,-6.4433550003367674,0.5,0.5,0.5,0.5,0.3796267788259032,0.4713643407886819,0.5,0.35386331436110807,0.008198802515436168,0.015166382376633895,0,0.009930027782844086,0.014402561735997228,0.026984586570016424,0.5,0.013121215514510821,0.03825893457347241,0.06592100478470021,0.5,0.0344011593520947,0.0023661715154226952,0.004501735054501284,0,0.0028837853075306713,0.010723209197955169,0.01569043437159494,0.5,0.010178055761178195,2556,72,1
REQUENA,MAQUIA,SANTA CLOTILDE,1605050018,63,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,6.03373966,-74.61108999897891,-5.796838999927086,0.5,0.5,0.5,0.5,0.9562694578122787,0.9519755647363266,0.5,0.950660872966877,0.02644183940616023,0.048641395284358256,0,0.02815948071884599,0.68924358617827,0.8904890963348151,0.5,0.673517839250491,0.8274440619210678,0.8326258804601466,0.5,0.8260097630669087,0.01621941059763788,0.03057174574770815,0,0.016827356547688296,0.6862455070874992,0.7907551027798295,0.5,0.6857843838933785,2556,72,1
REQUENA,MAQUIA,NUEVA ESPERANZA,1605050025,141,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,5.27665756,-74.54591499994234,-5.842165000322604,0.5,0.5,0.5,0.5,0.9668956827206459,0.9676471318409068,0.5,0.9616879404315477,0.06190146765649341,0.10950097959915481,0,0.06496895302068077,0.499782656235373,0.756116210703201,0.5,0.48034904392686006,0.7550479903123891,0.7830336812779669,0.5,0.756774644192987,0.036499068307858006,0.06782145764270656,0,0.03791121072544615,0.47401884066857236,0.6111214849503213,0.5,0.4691016878039992,2556,72,1
REQUENA,MAQUIA,MAQUIA TIPISHCA,1605050035,106,Qda Siuca,Intercuenca 49913,Hydro8,Hydro76,2.96698177,-74.64076700054544,-5.932961000406446,0.5,0.5,0.5,0.5,0.8296950920045155,0.8757506464016641,0.5,0.8129139965300419,0.034561520669646933,0.06354853834989416,0,0.03737973314772247,0.19499209076608257,0.338397216627346,0.5,0.18615599610881695,0.7358531354483239,0.7817495278861211,0.5,0.7264203890189774,0.02740329047691474,0.05074861323128255,0,0.02912063005657411,0.2538976937441276,0.3451955560543853,0.5,0.25095020523063594,2556,72,1
REQUENA,PUINAHUA,BELLAVISTA,1605060016,256,Rio Canal Puinahua,Intercuenca 49913,Hydro8,Hydro39,3.73733388,-74.37352199991018,-5.465722999815826,0.5,0.5,0.5,0.5,0.8039974737636424,0.8676372519139025,0.5,0.7916792382247184,0.09737188329481504,0.15276118580244294,0,0.10066118007783421,0.19963771362794563,0.3591099743054986,0.5,0.18185134397330424,0.3741711072124167,0.4368785843260481,0.5,0.36509436499700926,0.041634279151233924,0.07770862719368589,0,0.042402787683531964,0.16002194404165376,0.229889192377492,0.5,0.152348970527984,2556,72,1
REQUENA,PUINAHUA,MANCO CAPAC,1605060003,492,Rio Canal Puinahua,Intercuenca 49913,Hydro8,Hydro39,4.15438495,-74.23560807321812,-5.127965938886688,0.5,0.5,0.5,0.5,0.6075077681406763,0.5723937077537157,0.5,0.5765623849777775,0.12834531054409704,0.20636079023432607,0,0.13238428083022735,0.16064891556567645,0.2931476421414895,0.5,0.144471474458325,0.5429111963355175,0.457545081321479,0.5,0.49986634605014785,0.10766128276375649,0.17991724660910852,0,0.10827557509902729,0.229602652465283,0.32067283098593125,0.5,0.21456886731305919,2556,72,1
REQUENA,PUINAHUA,URARINAS,1605060006,219,Qda Sapoteyacu,Intercuenca 49913,Hydro8,Hydro39,1.51411265,-74.15462210476036,-5.146859757006311,0.5,0.5,0.5,0.5,0.6663353946118824,0.5740179028025094,0.5,0.6205544572392679,0.059386801713272985,0.09856750829304782,0,0.06003903499310144,0.06165899899629205,0.1128070964066314,0.5,0.05485966513593707,0.5797160708978862,0.48441021979262416,0.5,0.534130652582146,0.045763663854714205,0.0822696479226248,0,0.04579044149036835,0.08342557822151764,0.11901211479192503,0.5,0.07757520588898421,2556,72,1
REQUENA,TAPICHE,PUERTO ARCE,1605090004,69,Qda Sacarita Iberia,Intercuenca 49913,Hydro8,Hydro76,2.03406851,-74.15506212585119,-5.749756989790376,0.5,0.5,0.5,0.5,0.7525918352685916,0.8205413587111644,0.5,0.7525962285182525,0.017771618423774102,0.031155073232286123,0,0.018669563360775406,0.09776430857025864,0.17944955105547536,0.5,0.0893032668975055,0.4735267598055177,0.5697840888148323,0.5,0.4724210899267677,0.008279426972682975,0.015988887962826825,0,0.008546246847827664,0.09521871668540963,0.13778044748459076,0.5,0.09147113199105106,2556,72,1
UCAYALI,SARAYACU,MIGUEL GRAU,1606050057,320,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,7.95381445,-75.06799187383405,-6.599148458597928,0.5,0.5,0.5,0.5,0.27052240736014804,0.2651173603336585,0.5,0.21543043903608197,0.09121298245938761,0.21409580100091757,0,0.10815482457559318,0.2841300990587511,0.433680769581996,0.5,0.2573412181944635,0.2558387453922498,0.21610651036055092,0.5,0.1972809273186301,0.08413981201511964,0.21438252946247327,0,0.10033898523806369,0.44185067888736457,0.5023240030142757,0.5,0.4312190702334675,2556,72,1
UCAYALI,SARAYACU,CHICLAYO,1606050028,232,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,6.58187006,-75.02450823326517,-6.036213598289786,0.5,0.5,0.5,0.5,0.4906031221112577,0.5457199457030288,0.5,0.4547479151924914,0.06803250679126586,0.12023107363180639,0,0.07381575693362905,0.29390372705576184,0.48187411910646666,0.5,0.26736135437846453,0.35148162721649356,0.4040975441365613,0.5,0.34176058755966465,0.04117606960100558,0.08427921111594489,0,0.045190446439649166,0.3238319613952153,0.44300636277925876,0.5,0.3144582522800091,2556,72,1
