id_loc,nrohab,village,district,province,RiverName,HydroNameL6,HydroNameL7,HydroNameANA
1607030041,81,KUJI,MANSERICHE,DATEM DEL MARA_ON,Rio Marañon,Hydro13,Hydro66,Intercuenca 49877
1607030039,62,SHIMPI,MANSERICHE,DATEM DEL MARA_ON,Rio Marañon,Hydro13,Hydro66,Intercuenca 49877
1607040059,73,CHAYAT,MORONA,DATEM DEL MARA_ON,Qda Panintsa,Hydro13,Hydro65,Cuenca Morona
1607040003,223,YANKUNTISH,MORONA,DATEM DEL MARA_ON,Qda Panintsa,Hydro13,Hydro65,Cuenca Morona
1607040008,17,KATIRENTZA,MORONA,DATEM DEL MARA_ON,Qda Panintsa,Hydro13,Hydro65,Cuenca Morona
1607040052,32,SHOROYA VIEJO,MORONA,DATEM DEL MARA_ON,Rio Morona,Hydro13,Hydro65,Cuenca Morona
1607040030,87,FERNANDO ROSAS,MORONA,DATEM DEL MARA_ON,Rio Morona,Hydro13,Hydro65,Cuenca Morona
1607040023,80,BAGAZAN,MORONA,DATEM DEL MARA_ON,Rio Morona,Hydro13,Hydro65,Cuenca Morona
1607040012,59,SARGENTO PU_O,MORONA,DATEM DEL MARA_ON,Rio Morona,Hydro13,Hydro65,Cuenca Morona
1607040010,121,SHINKATA,MORONA,DATEM DEL MARA_ON,Rio Situche,Hydro13,Hydro65,Cuenca Morona
1607040029,133,UNANCHAY,MORONA,DATEM DEL MARA_ON,Qda Pushaga,Hydro13,Hydro65,Cuenca Morona
1607040026,47,"NARANJAL",MORONA,DATEM DEL MARA_ON,Qda Pushaga,Hydro13,Hydro65,Cuenca Morona
1607040013,79,BRASILIA,MORONA,DATEM DEL MARA_ON,Qda Anazo,Hydro13,Hydro65,Cuenca Morona
1607050143,10,CAPIRONA,PASTAZA,DATEM DEL MARA_ON,Qda Tapushi,Hydro11,Hydro61,Cuenca Pastaza
1607050064,116,PUERTO REQUENA,PASTAZA,DATEM DEL MARA_ON,Rio Chuinda,Hydro11,Hydro61,Cuenca Pastaza
1607050138,56,PUERTO  UNGURI,PASTAZA,DATEM DEL MARA_ON,Rio Chuinda,Hydro11,Hydro61,Cuenca Pastaza
1607050123,61,PUERTO ANGARA,PASTAZA,DATEM DEL MARA_ON,Rio Chapuli,Hydro11,Hydro61,Cuenca Pastaza
1607050133,50,PUERTO TANGAMA,PASTAZA,DATEM DEL MARA_ON,Rio Chapuli,Hydro11,Hydro61,Cuenca Pastaza
